Wch00202205015,F,001202205015,B,4,SHA00,17,4,Wch00,21,4
Wch00202205018,F,001202205018,B,4,SHA00,17,5,Wch00,21,5
Wch00202206001,F,001202206001,B,4,SHA00,18,0,Wch00,22,0
Wch00202206006,F,001202206006,B,4,SHA00,18,1,Wch00,22,1
Wch00202206011,F,001202206011,B,4,SHA00,18,2,Wch00,22,2
Wch00202206016,F,001202206016,B,4,SHA00,18,3,Wch00,22,3
Wch00202206021,F,001202206021,B,4,SHA00,18,4,Wch00,22,4
Wch00202206002,F,001202206002,B,4,SHA00,19,0,Wch00,23,0
Wch00202206007,F,001202206007,B,4,SHA00,19,1,Wch00,23,1
Wch00202206012,F,001202206012,B,4,SHA00,19,2,Wch00,23,2
Wch00202206017,F,001202206017,B,4,SHA00,19,3,Wch00,23,3
Wch00202206022,F,001202206022,B,4,SHA00,19,4,Wch00,23,4
Wch00202206003,F,001202206003,B,4,SHA00,20,0,Wch00,24,0
Wch00202206008,F,001202206008,B,4,SHA00,20,1,Wch00,24,1
Wch00202206013,F,001202206013,B,4,SHA00,20,2,Wch00,24,2
Wch00202206018,F,001202206018,B,4,SHA00,20,3,Wch00,24,3
Wch00202206023,F,001202206023,B,4,SHA00,20,4,Wch00,24,4
Wch00202206004,F,001202206004,B,4,SHA00,21,0,Wch00,25,0
Wch00202206009,F,001202206009,B,4,SHA00,21,1,Wch00,25,1
Wch00202206014,F,001202206014,B,4,SHA00,21,2,Wch00,25,2
Wch00202206019,F,001202206019,B,4,SHA00,21,3,Wch00,25,3
Wch00202206005,F,001202206005,B,4,SHA00,22,0,Wch00,26,0
Wch00202206010,F,001202206010,B,4,SHA00,22,1,Wch00,26,1
Wch00202206015,F,001202206015,B,4,SHA00,22,2,Wch00,26,2
Wch00202206020,F,001202206020,B,4,SHA00,22,3,Wch00,26,3
Wch00202207001,F,001202207001,B,4,SHA00,23,0,Wch00,27,0
Wch00202207005,F,001202207005,B,4,SHA00,23,1,Wch00,27,1
Wch00202207009,F,001202207009,B,4,SHA00,23,2,Wch00,27,2
Wch00202207013,F,001202207013,B,4,SHA00,23,3,Wch00,27,3
Wch00202207017,F,001202207017,B,4,SHA00,23,4,Wch00,27,4
Wch00202207021,F,001202207021,B,4,SHA00,23,5,Wch00,27,5
Wch00202207025,F,001202207025,B,4,SHA00,23,6,Wch00,27,6
